,preds
1061,0
1062,1
1063,1
1064,2
1065,0
1066,1
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,2
1074,1
1075,2
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,2
1083,1
1084,1
1085,0
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,1
1094,2
1095,1
1096,2
1097,0
1098,1
1099,1
1100,2
1101,1
1102,1
1103,0
1104,2
1105,0
1106,2
1107,0
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,2
1115,0
1116,1
1117,0
1118,1
1119,2
1120,0
1121,1
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,0
1129,1
1130,2
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,0
1138,0
1139,1
1140,2
1141,1
1142,1
1143,1
1144,1
1145,0
1146,0
1147,1
1148,0
1149,2
1150,0
1151,1
1152,0
1153,0
1154,2
1155,0
1156,0
1157,0
1158,1
1159,2
1160,2
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,1
1169,0
1170,0
1171,0
1172,2
1173,0
1174,0
1175,2
1176,0
1177,0
1178,1
1179,0
1180,1
1181,2
1182,0
1183,1
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,1
1191,0
1192,0
1193,2
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,1
1201,1
1202,0
1203,2
1204,0
1205,0
1206,0
1207,2
1208,2
1209,2
1210,2
1211,2
1212,1
1213,1
1214,1
1215,0
1216,2
1217,0
1218,2
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,2
1226,0
1227,1
1228,2
1229,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,2
1236,1
1237,1
1238,2
1239,2
1240,0
1241,2
1242,0
1243,1
1244,0
1245,2
1246,0
1247,1
1248,1
1249,2
1250,0
1251,0
1252,1
1253,0
1254,1
1255,0
1256,0
1257,0
1258,0
1259,0
1260,1
1261,0
1262,1
1263,0
1264,1
1265,2
1266,0
1267,0
1268,1
1269,0
1270,1
1271,0
1272,0
1273,2
1274,1
1275,1
1276,0
1277,2
1278,0
1279,0
1280,0
1281,0
1282,2
1283,1
1284,0
1285,1
1286,1
1287,2
1288,0
1289,2
1290,0
1291,0
1292,0
1293,0
1294,0
1295,1
1296,2
1297,0
1298,0
1299,0
1300,0
1301,0
1302,1
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,1
1313,0
1314,1
1315,2
1316,1
1317,0
1318,2
1319,1
1320,1
1321,1
1322,0
1323,0
1324,1
1325,0
1326,0
1327,1
1328,0
1329,0
1330,0
1331,2
1332,2
1333,2
1334,0
1335,0
1336,0
1337,0
1338,2
1339,0
1340,0
1341,0
1342,0
1343,1
1344,0
1345,1
1346,1
1347,0
1348,0
1349,0
1350,0
1351,0
1352,1
1353,1
1354,2
1355,2
1356,0
1357,1
1358,1
1359,0
1360,1
1361,0
1362,1
1363,2
1364,1
1365,0
1366,0
1367,0
1368,0
1369,1
1370,0
1371,1
1372,0
1373,1
1374,1
1375,0
1376,1
1377,0
1378,1
1379,0
1380,0
1381,1
1382,1
1383,0
1384,0
1385,0
1386,0
1387,0
1388,1
1389,1
1390,1
1391,1
1392,0
1393,2
1394,2
1395,2
1396,1
1397,2
1398,0
1399,0
1400,1
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,1
1409,1
1410,1
1411,0
1412,2
1413,1
1414,1
1415,1
1416,2
1417,1
1418,0
1419,1
1420,0
1421,1
1422,0
1423,1
1424,0
1425,1
1426,0
1427,0
1428,0
1429,2
1430,0
1431,1
1432,0
1433,2
1434,1
1435,0
1436,2
1437,1
1438,1
1439,1
1440,0
1441,1
1442,1
1443,0
1444,1
1445,1
1446,1
1447,1
1448,0
1449,0
1450,1
1451,1
1452,0
1453,0
1454,2
1455,0
1456,1
1457,0
1458,0
1459,0
1460,0
1461,1
1462,0
1463,0
1464,0
1465,0
1466,2
1467,1
1468,0
1469,0
1470,1
1471,1
1472,1
1473,0
1474,0
1475,1
1476,0
1477,0
1478,1
1479,0
1480,1
1481,1
1482,1
1483,0
1484,1
1485,1
1486,0
1487,0
1488,2
1489,1
1490,0
1491,2
1492,0
1493,1
1494,0
1495,1
1496,0
1497,0
1498,1
1499,2
1500,0
1501,0
1502,1
1503,1
1504,1
1505,0
1506,0
1507,1
1508,0
1509,0
1510,1
1511,2
1512,2
1513,0
1514,2
1515,1
1516,1
1517,0
1518,0
1519,0
1520,1
1521,0
1522,0
1523,2
1524,1
1525,0
1526,2
1527,1
1528,1
1529,0
1530,0
1531,0
1532,2
1533,1
1534,0
1535,2
1536,0
1537,0
1538,1
1539,0
1540,1
1541,1
1542,0
1543,0
1544,1
1545,0
1546,0
1547,0
1548,1
1549,0
1550,0
1551,1
1552,1
1553,0
1554,0
1555,0
1556,1
1557,0
1558,0
1559,0
1560,1
1561,2
1562,1
1563,0
1564,1
1565,1
1566,1
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,1
1574,1
1575,0
1576,0
1577,0
1578,0
1579,1
1580,0
1581,0
1582,1
1583,0
1584,1
1585,2
1586,0
1587,2
1588,1
1589,1
1590,0
1591,1
1592,0
1593,1
1594,0
1595,1
1596,1
1597,1
1598,0
1599,0
1600,1
1601,2
1602,1
1603,1
1604,1
1605,0
1606,0
1607,2
1608,1
1609,0
1610,0
1611,0
1612,1
1613,1
1614,1
1615,1
1616,1
1617,2
1618,1
1619,1
1620,1
1621,0
1622,0
1623,1
1624,0
1625,0
1626,0
1627,0
1628,1
1629,2
1630,1
1631,2
1632,0
1633,0
1634,0
1635,2
1636,1
1637,2
1638,2
1639,2
1640,0
1641,1
1642,0
1643,1
1644,2
1645,0
1646,0
1647,0
1648,0
1649,0
1650,1
1651,0
1652,2
1653,0
1654,0
1655,0
1656,0
1657,1
1658,0
1659,0
1660,0
1661,2
1662,1
1663,1
1664,1
1665,1
1666,0
1667,1
1668,1
1669,1
1670,1
1671,0
1672,0
1673,0
1674,1
1675,0
1676,1
1677,0
1678,1
1679,2
1680,2
1681,0
1682,2
1683,1
1684,1
1685,0
1686,1
1687,1
1688,0
1689,0
1690,0
1691,0
1692,1
1693,0
1694,0
1695,2
1696,1
1697,1
1698,0
1699,1
1700,2
1701,1
1702,0
1703,2
1704,2
1705,0
1706,1
1707,0
1708,2
1709,2
1710,1
1711,1
1712,1
1713,0
1714,0
1715,0
1716,0
1717,1
1718,0
1719,0
1720,0
1721,1
1722,1
1723,0
1724,0
1725,1
1726,0
1727,1
1728,1
1729,1
1730,1
1731,2
1732,1
1733,1
1734,2
1735,0
1736,0
1737,1
1738,1
1739,0
1740,0
1741,0
1742,0
1743,1
1744,0
1745,2
1746,0
1747,2
1748,1
1749,1
1750,0
1751,0
1752,1
1753,1
1754,2
1755,1
1756,2
1757,0
1758,2
1759,1
1760,1
1761,2
1762,1
1763,1
1764,1
1765,2
1766,1
1767,2
1768,1
1769,2
1770,1
1771,0
1772,0
1773,2
1774,0
1775,1
1776,2
1777,0
1778,2
1779,0
1780,1
1781,0
1782,2
1783,0
1784,0
1785,2
1786,0
1787,1
1788,0
1789,1
1790,1
1791,2
1792,0
1793,1
1794,0
1795,0
1796,2
1797,0
1798,1
1799,1
1800,0
1801,0
1802,0
1803,2
1804,1
1805,0
1806,1
1807,1
1808,1
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,1
1817,0
1818,0
1819,0
1820,1
1821,1
1822,1
1823,0
1824,0
1825,1
1826,0
1827,0
1828,0
1829,0
1830,2
1831,0
1832,1
1833,0
1834,0
1835,0
1836,0
1837,0
1838,2
1839,1
1840,0
1841,0
1842,0
1843,1
1844,2
1845,1
1846,0
1847,2
1848,0
1849,1
1850,2
1851,2
1852,0
1853,1
1854,0
1855,1
1856,1
1857,0
1858,1
1859,2
1860,1
1861,1
1862,1
1863,1
1864,1
1865,0
1866,0
1867,0
1868,1
1869,2
1870,0
1871,0
1872,1
1873,0
1874,1
1875,1
1876,1
1877,0
1878,1
1879,1
1880,1
1881,0
1882,2
1883,1
1884,0
1885,0
1886,1
1887,2
1888,1
1889,1
1890,0
1891,1
1892,0
1893,0
1894,1
1895,1
1896,0
1897,0
1898,1
1899,0
1900,0
1901,1
1902,0
1903,2
1904,1
1905,0
1906,0
1907,0
1908,0
1909,1
1910,1
1911,2
1912,2
1913,1
1914,0
1915,0
1916,0
1917,0
1918,1
1919,0
1920,0
1921,0
1922,1
1923,1
1924,0
1925,0
1926,1
1927,0
1928,0
1929,1
1930,1
1931,1
1932,0
1933,0
1934,0
1935,1
1936,2
1937,0
1938,1
1939,1
1940,1
1941,1
1942,1
1943,0
1944,1
1945,1
1946,0
1947,1
1948,2
1949,1
1950,0
1951,2
1952,0
1953,1
1954,1
1955,2
1956,1
1957,2
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,1
1966,0
1967,1
1968,1
1969,0
1970,0
1971,2
1972,0
1973,0
1974,0
1975,1
1976,0
1977,0
1978,0
1979,2
1980,0
1981,0
1982,1
1983,0
1984,0
1985,2
1986,0
1987,1
1988,2
1989,0
1990,0
1991,0
1992,0
1993,2
1994,0
1995,1
1996,0
1997,1
1998,1
1999,1
2000,0
2001,1
2002,1
2003,0
2004,1
2005,0
2006,2
2007,0
2008,1
2009,2
2010,0
2011,1
2012,1
2013,0
2014,1
2015,1
2016,1
2017,0
2018,2
2019,0
2020,1
2021,1
2022,1
2023,0
2024,1
2025,0
2026,0
2027,0
2028,1
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,1
2037,0
2038,0
2039,1
2040,0
2041,2
2042,0
2043,0
2044,0
2045,0
2046,2
2047,2
2048,1
2049,1
2050,0
2051,0
2052,2
2053,0
2054,1
2055,0
2056,1
2057,0
2058,0
2059,0
2060,0
2061,1
2062,1
2063,0
2064,0
2065,1
2066,0
2067,0
2068,1
2069,0
2070,2
2071,0
2072,0
2073,1
2074,0
2075,1
2076,0
2077,0
2078,1
2079,0
2080,2
2081,0
2082,0
2083,0
2084,1
2085,1
2086,0
2087,1
2088,0
2089,0
2090,0
2091,0
2092,0
2093,1
2094,0
2095,0
2096,0
2097,1
2098,2
2099,0
2100,0
2101,1
2102,1
2103,0
2104,0
2105,0
2106,0
2107,0
2108,2
2109,1
2110,1
2111,1
2112,0
2113,1
2114,2
2115,0
2116,0
2117,0
2118,1
2119,1
2120,1
